Age,Gender,Location,Income,Savings,Existing Investments,Life Stage,Existing Policies,Website Activity Score,Past Claims,Recommended Policy Type,Coverage Amount,Premium Term,Interest in Add-on Benefits,Upselling Opportunity,Premium Amount
34,Female,Suburban,56000,20000,11000,Married,0,63,0,Health Insurance,90000,5 Years,70,0,15000
30,Male,Suburban,56000,32000,72000,Single,2,91,0,Health Insurance,90000,20 Years,72,1,15000
30,Female,Rural,64000,65000,43000,Married,0,95,0,Investment Plan,90000,10 Years,66,0,15000
50,Female,Urban,54000,42000,91000,Married,2,63,0,Retirement Plan,90000,5 Years,61,1,15000
36,Female,Suburban,58000,67000,64000,Single,1,67,0,Investment Plan,90000,10 Years,62,0,15000
44,Male,Urban,49000,30000,67000,Parents,1,60,1,Health Insurance,90000,10 Years,74,1,15000
20,Female,Rural,25000,13000,41000,Single,2,95,1,Life Insurance,90000,20 Years,58,1,15000
42,Female,Suburban,55000,34000,60000,Empty Nesters,1,64,1,Health Insurance,90000,Whole Life,63,0,15000
46,Male,Suburban,43000,20000,26000,Empty Nesters,2,83,1,Health Insurance,90000,Whole Life,53,0,15000
69,Female,Rural,77000,33000,14000,Empty Nesters,2,45,0,Retirement Plan,90000,5 Years,79,0,15000
38,Female,Rural,41000,30000,16000,Married,0,77,0,Health Insurance,90000,5 Years,73,0,15000
56,Male,Urban,65000,35000,44000,Parents,2,67,1,Retirement Plan,90000,5 Years,72,1,15000
46,Male,Rural,57000,24000,93000,Empty Nesters,2,84,0,Health Insurance,90000,Whole Life,82,0,15000
25,Male,Suburban,31000,10000,28000,Single,2,81,1,Life Insurance,90000,20 Years,44,0,15000
26,Male,Suburban,60000,66000,23000,Married,1,95,0,Investment Plan,90000,5 Years,55,1,15000
27,Female,Suburban,17000,4000,62000,Married,0,95,0,Life Insurance,90000,5 Years,64,0,15000
39,Female,Urban,43000,20000,72000,Partnered,2,95,1,Health Insurance,90000,Whole Life,80,1,15000
40,Male,Rural,57000,21000,44000,Single,2,87,1,Health Insurance,90000,Whole Life,57,1,15000
35,Male,Suburban,40000,16000,0,Partnered,2,95,1,Health Insurance,90000,20 Years,38,0,15000
30,Female,Rural,30000,30000,91000,Single,1,87,1,Health Insurance,90000,20 Years,54,1,15000
37,Male,Urban,46000,22000,50000,Married,2,84,0,Health Insurance,90000,10 Years,77,1,15000
29,Male,Rural,30000,17000,76000,Married,1,87,1,Life Insurance,90000,20 Years,57,0,15000
49,Male,Rural,44000,32000,55000,Empty Nesters,2,46,1,Health Insurance,90000,Whole Life,91,0,15000
30,Male,Suburban,39000,10000,4000,Single,2,95,1,Life Insurance,90000,5 Years,57,0,15000
22,Male,Rural,32000,10000,54000,Single,1,95,1,Life Insurance,90000,Whole Life,49,1,15000
45,Female,Rural,48000,20000,6000,Empty Nesters,2,67,1,Health Insurance,90000,5 Years,72,0,15000
21,Female,Rural,32000,11000,17000,Single,2,95,1,Life Insurance,90000,5 Years,62,1,15000
49,Male,Rural,56000,38000,81000,Married,1,69,0,Health Insurance,90000,Whole Life,66,1,15000
35,Male,Suburban,30000,24000,61000,Single,1,85,1,Health Insurance,90000,10 Years,69,0,15000
41,Female,Suburban,46000,27000,20000,Empty Nesters,1,86,1,Health Insurance,90000,Whole Life,65,1,15000
21,Male,Suburban,28000,8000,27000,Single,1,95,1,Life Insurance,90000,20 Years,58,1,15000
43,Male,Rural,76000,49000,94000,Married,2,81,0,Investment Plan,90000,Whole Life,75,1,15000
28,Male,Urban,26000,14000,70000,Married,1,95,0,Life Insurance,90000,Whole Life,89,1,15000
25,Male,Suburban,84000,58000,66000,Single,2,95,1,Investment Plan,90000,5 Years,52,0,15000
60,Female,Rural,47000,48000,16000,Empty Nesters,1,50,1,Retirement Plan,90000,5 Years,94,0,15000
37,Male,Suburban,88000,59000,94000,Single,2,90,0,Investment Plan,90000,10 Years,55,0,15000
47,Male,Urban,45000,36000,50000,Parents,2,74,0,Health Insurance,90000,5 Years,66,0,15000
65,Male,Rural,82000,58000,88000,Empty Nesters,0,66,1,Retirement Plan,90000,5 Years,76,0,15000
49,Male,Rural,36000,34000,13000,Empty Nesters,1,74,1,Health Insurance,90000,10 Years,64,0,15000
35,Male,Rural,51000,63000,2000,Partnered,1,95,1,Investment Plan,90000,Whole Life,71,0,15000
62,Male,Urban,78000,53000,100000,Empty Nesters,1,25,0,Retirement Plan,90000,10 Years,69,0,15000
22,Female,Urban,31000,13000,56000,Single,0,95,0,Life Insurance,90000,5 Years,53,0,15000
43,Male,Suburban,51000,68000,99000,Empty Nesters,2,58,1,Investment Plan,90000,10 Years,60,0,15000
64,Male,Rural,71000,17000,64000,Empty Nesters,0,21,1,Retirement Plan,90000,5 Years,66,0,15000
28,Female,Suburban,24000,10000,15000,Partnered,0,95,1,Life Insurance,90000,Whole Life,71,1,15000
39,Male,Rural,64000,67000,83000,Partnered,2,92,0,Investment Plan,90000,10 Years,64,0,15000
35,Female,Urban,78000,50000,28000,Single,0,81,0,Investment Plan,90000,10 Years,58,1,15000
44,Female,Urban,36000,34000,12000,Empty Nesters,2,71,0,Health Insurance,90000,10 Years,69,1,15000
55,Male,Urban,49000,32000,64000,Married,1,51,1,Retirement Plan,90000,Whole Life,83,0,15000
36,Male,Suburban,80000,37000,71000,Partnered,1,76,1,Investment Plan,90000,5 Years,63,0,15000
39,Male,Urban,36000,18000,16000,Partnered,2,95,0,Health Insurance,90000,20 Years,87,0,15000
44,Female,Suburban,70000,85000,74000,Married,1,62,1,Investment Plan,90000,20 Years,64,1,15000
31,Male,Suburban,36000,15000,48000,Single,1,95,0,Life Insurance,90000,10 Years,67,0,15000
39,Male,Suburban,75000,73000,60000,Partnered,2,94,0,Investment Plan,90000,Whole Life,60,0,15000
30,Male,Rural,51000,20000,56000,Single,0,95,1,Health Insurance,90000,10 Years,53,0,15000
22,Female,Suburban,15000,23000,19000,Single,0,93,0,Life Insurance,90000,20 Years,79,1,15000
44,Female,Rural,44000,21000,88000,Married,1,77,0,Health Insurance,90000,10 Years,56,0,15000
26,Male,Suburban,24000,4000,6000,Partnered,1,95,0,Life Insurance,90000,5 Years,69,1,15000
39,Female,Suburban,80000,33000,57000,Married,0,95,0,Investment Plan,90000,10 Years,66,1,15000
25,Female,Rural,85000,71000,62000,Single,0,95,0,Investment Plan,90000,Whole Life,57,0,15000
39,Female,Suburban,80000,65000,91000,Married,2,85,0,Investment Plan,90000,Whole Life,76,1,15000
30,Female,Rural,33000,28000,93000,Single,2,95,1,Health Insurance,90000,5 Years,71,0,15000
32,Female,Urban,29000,3000,70000,Married,2,95,1,Life Insurance,90000,20 Years,54,0,15000
67,Male,Suburban,46000,52000,67000,Empty Nesters,0,40,1,Retirement Plan,90000,5 Years,79,1,15000
20,Female,Suburban,28000,16000,2000,Single,1,95,1,Life Insurance,90000,10 Years,57,0,15000
40,Male,Rural,72000,78000,54000,Married,2,95,0,Investment Plan,90000,5 Years,50,0,15000
40,Female,Suburban,52000,11000,19000,Partnered,1,90,1,Health Insurance,90000,5 Years,70,0,15000
25,Female,Urban,23000,11000,1000,Single,1,95,1,Life Insurance,90000,10 Years,63,0,15000
32,Female,Rural,29000,9000,83000,Partnered,1,90,1,Life Insurance,90000,20 Years,72,0,15000
22,Male,Rural,27000,19000,3000,Single,1,95,1,Life Insurance,90000,10 Years,59,0,15000
52,Male,Urban,65000,37000,99000,Married,2,75,1,Retirement Plan,90000,20 Years,82,0,15000
44,Female,Suburban,32000,30000,3000,Married,2,77,0,Health Insurance,90000,Whole Life,77,1,15000
32,Female,Rural,56000,10000,73000,Partnered,0,95,0,Health Insurance,90000,5 Years,62,1,15000
57,Female,Urban,43000,38000,100000,Married,1,61,1,Retirement Plan,90000,10 Years,59,1,15000
31,Male,Urban,52000,6000,81000,Single,1,72,0,Health Insurance,90000,10 Years,61,0,15000
42,Male,Urban,42000,19000,61000,Parents,0,69,1,Health Insurance,90000,Whole Life,80,1,15000
34,Female,Rural,59000,25000,56000,Married,2,78,0,Health Insurance,90000,5 Years,63,1,15000
31,Female,Rural,33000,22000,18000,Married,2,95,1,Life Insurance,90000,10 Years,67,1,15000
27,Female,Urban,70000,54000,72000,Single,1,95,0,Investment Plan,90000,20 Years,90,1,15000
25,Female,Rural,35000,13000,44000,Single,0,95,0,Life Insurance,90000,Whole Life,62,1,15000
51,Male,Urban,79000,58000,25000,Parents,1,84,1,Retirement Plan,90000,Whole Life,74,0,15000
42,Male,Suburban,42000,18000,54000,Married,1,83,0,Health Insurance,90000,Whole Life,76,1,15000
47,Male,Rural,50000,21000,3000,Married,1,76,0,Health Insurance,90000,20 Years,59,1,15000
28,Female,Urban,18000,18000,45000,Married,0,84,1,Life Insurance,90000,10 Years,52,0,15000
31,Female,Rural,25000,4000,28000,Married,1,95,0,Life Insurance,90000,10 Years,72,1,15000
28,Male,Suburban,26000,10000,99000,Married,1,95,1,Life Insurance,90000,20 Years,72,1,15000
27,Female,Urban,59000,40000,11000,Partnered,0,85,0,Investment Plan,90000,5 Years,49,1,15000
43,Female,Urban,84000,41000,83000,Empty Nesters,2,95,1,Investment Plan,90000,10 Years,70,0,15000
50,Male,Rural,59000,49000,30000,Empty Nesters,1,87,1,Retirement Plan,90000,Whole Life,83,1,15000
37,Male,Rural,86000,53000,26000,Partnered,0,95,1,Investment Plan,90000,5 Years,75,0,15000
55,Female,Rural,65000,51000,20000,Married,1,53,0,Retirement Plan,90000,20 Years,82,1,15000
58,Female,Rural,79000,63000,82000,Empty Nesters,0,29,0,Retirement Plan,90000,Whole Life,76,0,15000
68,Male,Rural,73000,52000,39000,Empty Nesters,0,72,1,Retirement Plan,90000,10 Years,89,0,15000
44,Female,Urban,67000,68000,81000,Empty Nesters,1,95,1,Investment Plan,90000,10 Years,86,1,15000
51,Female,Suburban,59000,47000,73000,Parents,0,76,0,Retirement Plan,90000,Whole Life,67,1,15000
60,Female,Rural,70000,38000,46000,Parents,0,61,1,Retirement Plan,90000,5 Years,51,0,15000
52,Female,Rural,42000,38000,81000,Empty Nesters,2,60,0,Retirement Plan,90000,Whole Life,78,0,15000
42,Female,Rural,92000,43000,81000,Parents,0,80,0,Investment Plan,90000,Whole Life,70,1,15000
65,Male,Suburban,78000,53000,38000,Empty Nesters,1,18,1,Retirement Plan,90000,20 Years,92,1,15000
33,Female,Rural,44000,27000,16000,Single,1,95,1,Health Insurance,90000,5 Years,67,1,15000
35,Male,Suburban,82000,60000,75000,Partnered,1,82,0,Investment Plan,90000,5 Years,63,0,15000
40,Female,Suburban,51000,25000,79000,Partnered,0,95,1,Health Insurance,90000,10 Years,80,0,15000
63,Male,Urban,72000,52000,49000,Empty Nesters,2,64,1,Retirement Plan,90000,20 Years,95,0,15000
30,Female,Suburban,27000,17000,5000,Partnered,2,94,0,Life Insurance,90000,10 Years,78,0,15000
40,Male,Rural,63000,59000,65000,Single,0,78,1,Investment Plan,90000,Whole Life,63,1,15000
58,Male,Urban,50000,33000,73000,Married,2,44,0,Retirement Plan,90000,20 Years,79,1,15000
26,Male,Rural,99000,77000,25000,Single,1,95,1,Investment Plan,90000,Whole Life,67,1,15000
68,Female,Urban,58000,53000,68000,Empty Nesters,0,24,0,Retirement Plan,90000,10 Years,87,0,15000
31,Female,Rural,85000,58000,84000,Married,1,95,0,Investment Plan,90000,Whole Life,67,0,15000
57,Male,Rural,84000,47000,56000,Empty Nesters,1,72,1,Retirement Plan,90000,5 Years,61,1,15000
54,Male,Suburban,53000,48000,89000,Married,2,59,1,Retirement Plan,90000,Whole Life,76,0,15000
22,Male,Rural,40000,14000,44000,Single,0,95,1,Life Insurance,90000,Whole Life,62,1,15000
50,Female,Suburban,51000,29000,42000,Parents,0,45,0,Retirement Plan,90000,20 Years,90,1,15000
27,Male,Suburban,19000,13000,23000,Married,1,95,0,Life Insurance,90000,Whole Life,48,0,15000
60,Male,Rural,70000,39000,53000,Parents,1,47,0,Retirement Plan,90000,10 Years,78,1,15000
30,Female,Suburban,36000,8000,98000,Married,0,95,0,Life Insurance,90000,5 Years,63,1,15000
40,Male,Rural,52000,50000,49000,Partnered,1,93,0,Investment Plan,90000,5 Years,58,0,15000
54,Female,Rural,66000,47000,79000,Married,2,63,0,Retirement Plan,90000,5 Years,78,0,15000
30,Male,Rural,25000,6000,30000,Married,2,95,0,Life Insurance,90000,5 Years,64,1,15000
32,Female,Urban,21000,18000,90000,Partnered,1,95,0,Life Insurance,90000,Whole Life,65,1,15000
58,Male,Suburban,77000,34000,95000,Parents,1,25,1,Retirement Plan,90000,20 Years,95,1,15000
45,Male,Suburban,70000,35000,71000,Empty Nesters,2,84,1,Health Insurance,90000,10 Years,84,0,15000
33,Male,Rural,35000,12000,56000,Married,1,95,0,Life Insurance,90000,Whole Life,59,1,15000
69,Male,Suburban,66000,34000,14000,Empty Nesters,0,42,1,Retirement Plan,90000,Whole Life,84,1,15000
37,Male,Urban,46000,27000,36000,Partnered,2,48,1,Health Insurance,90000,10 Years,69,1,15000
60,Male,Urban,71000,53000,46000,Empty Nesters,2,37,1,Retirement Plan,90000,Whole Life,78,1,15000
52,Male,Urban,74000,38000,82000,Married,0,56,0,Retirement Plan,90000,20 Years,71,1,15000
21,Male,Urban,20000,11000,21000,Single,1,90,0,Life Insurance,90000,20 Years,78,0,15000
36,Female,Rural,24000,14000,11000,Married,0,95,0,Health Insurance,90000,Whole Life,65,0,15000
69,Male,Suburban,54000,50000,55000,Empty Nesters,1,43,1,Retirement Plan,90000,Whole Life,95,0,15000
59,Male,Suburban,45000,58000,41000,Empty Nesters,0,41,0,Retirement Plan,90000,Whole Life,76,0,15000
43,Female,Rural,47000,26000,61000,Empty Nesters,0,93,0,Health Insurance,90000,20 Years,55,1,15000
42,Female,Urban,40000,12000,67000,Married,2,77,1,Health Insurance,90000,5 Years,64,1,15000
20,Female,Suburban,29000,5000,32000,Single,1,95,1,Life Insurance,90000,10 Years,57,1,15000
45,Male,Rural,48000,18000,94000,Married,0,61,1,Health Insurance,90000,20 Years,75,1,15000
63,Female,Suburban,79000,34000,72000,Empty Nesters,2,51,1,Retirement Plan,90000,10 Years,79,0,15000
62,Male,Suburban,58000,53000,86000,Empty Nesters,1,64,1,Retirement Plan,90000,10 Years,81,0,15000
34,Male,Rural,103000,60000,97000,Single,2,74,1,Investment Plan,90000,5 Years,68,0,15000
30,Male,Suburban,21000,6000,50000,Married,1,95,1,Life Insurance,90000,10 Years,50,1,15000
32,Female,Rural,23000,4000,15000,Partnered,1,95,1,Life Insurance,90000,20 Years,76,0,15000
62,Female,Suburban,61000,45000,77000,Empty Nesters,1,37,0,Retirement Plan,90000,20 Years,64,1,15000
31,Female,Rural,53000,18000,13000,Married,0,89,1,Health Insurance,90000,20 Years,71,1,15000
32,Male,Suburban,87000,77000,24000,Married,2,88,0,Investment Plan,90000,10 Years,75,0,15000
22,Female,Suburban,37000,13000,64000,Single,1,95,0,Life Insurance,90000,Whole Life,69,1,15000
47,Male,Suburban,43000,21000,50000,Empty Nesters,0,67,1,Health Insurance,90000,20 Years,71,0,15000
31,Male,Urban,94000,22000,65000,Married,0,95,1,Investment Plan,90000,Whole Life,67,0,15000
66,Female,Suburban,73000,67000,61000,Empty Nesters,0,32,0,Retirement Plan,90000,20 Years,74,0,15000
39,Male,Suburban,61000,67000,86000,Partnered,1,91,1,Investment Plan,90000,20 Years,76,0,15000
21,Male,Suburban,32000,6000,3000,Single,2,95,0,Life Insurance,90000,10 Years,54,1,15000
28,Female,Rural,32000,17000,90000,Married,2,95,1,Life Insurance,90000,Whole Life,58,0,15000
27,Female,Urban,63000,47000,64000,Married,0,95,0,Investment Plan,90000,20 Years,53,0,15000
22,Female,Rural,23000,12000,22000,Single,2,95,0,Life Insurance,90000,20 Years,62,0,15000
43,Male,Rural,55000,17000,61000,Empty Nesters,1,90,1,Health Insurance,90000,20 Years,68,0,15000
30,Male,Urban,52000,36000,27000,Single,2,95,1,Health Insurance,90000,Whole Life,54,0,15000
53,Male,Suburban,47000,38000,38000,Married,1,65,1,Retirement Plan,90000,20 Years,64,0,15000
35,Male,Suburban,58000,53000,66000,Partnered,0,92,1,Investment Plan,90000,20 Years,83,1,15000
26,Female,Rural,35000,14000,44000,Single,2,95,0,Life Insurance,90000,Whole Life,58,1,15000
36,Male,Rural,48000,25000,11000,Single,2,83,1,Health Insurance,90000,10 Years,63,1,15000
33,Female,Urban,67000,48000,57000,Single,2,95,1,Investment Plan,90000,Whole Life,66,1,15000
29,Male,Urban,31000,12000,2000,Partnered,0,95,0,Life Insurance,90000,10 Years,68,0,15000
49,Male,Suburban,33000,32000,36000,Married,0,55,0,Health Insurance,90000,20 Years,66,0,15000
61,Male,Rural,60000,61000,15000,Empty Nesters,1,44,0,Retirement Plan,90000,20 Years,78,1,15000
54,Male,Urban,72000,55000,82000,Parents,2,83,0,Retirement Plan,90000,10 Years,79,0,15000
55,Male,Suburban,69000,51000,44000,Empty Nesters,2,95,1,Retirement Plan,90000,Whole Life,70,0,15000
66,Male,Rural,56000,39000,35000,Empty Nesters,2,28,0,Retirement Plan,90000,Whole Life,71,1,15000
43,Male,Rural,38000,17000,48000,Parents,1,55,1,Health Insurance,90000,5 Years,63,1,15000
26,Male,Suburban,23000,17000,72000,Married,0,95,1,Life Insurance,90000,Whole Life,45,0,15000
41,Female,Suburban,86000,53000,14000,Empty Nesters,1,63,0,Investment Plan,90000,5 Years,64,0,15000
33,Female,Urban,68000,48000,5000,Single,1,86,0,Investment Plan,90000,5 Years,81,1,15000
28,Male,Rural,36000,16000,39000,Partnered,2,81,1,Life Insurance,90000,10 Years,63,1,15000
54,Male,Rural,68000,30000,72000,Empty Nesters,1,85,1,Retirement Plan,90000,10 Years,78,0,15000
65,Male,Urban,82000,42000,35000,Empty Nesters,2,65,1,Retirement Plan,90000,Whole Life,87,1,15000
40,Female,Urban,32000,32000,56000,Partnered,0,76,1,Health Insurance,90000,10 Years,77,0,15000
50,Male,Urban,63000,69000,90000,Parents,1,76,1,Retirement Plan,90000,20 Years,71,1,15000
38,Female,Suburban,33000,31000,47000,Married,1,90,0,Health Insurance,90000,5 Years,79,0,15000
25,Female,Urban,20000,13000,70000,Single,0,95,0,Life Insurance,90000,10 Years,71,0,15000
36,Male,Rural,72000,40000,80000,Single,0,95,0,Investment Plan,90000,20 Years,76,0,15000
29,Female,Rural,31000,12000,1000,Married,1,95,1,Life Insurance,90000,20 Years,54,1,15000
25,Female,Urban,79000,58000,60000,Single,0,95,1,Investment Plan,90000,10 Years,61,0,15000
27,Male,Urban,65000,74000,77000,Single,0,95,0,Investment Plan,90000,10 Years,66,1,15000
27,Female,Urban,21000,9000,59000,Single,2,95,0,Life Insurance,90000,5 Years,62,1,15000
28,Male,Rural,40000,17000,86000,Single,2,95,1,Life Insurance,90000,5 Years,52,1,15000
39,Male,Rural,86000,51000,11000,Married,0,64,0,Investment Plan,90000,10 Years,63,1,15000
33,Male,Rural,54000,16000,37000,Single,2,95,0,Health Insurance,90000,20 Years,95,1,15000
46,Female,Rural,43000,15000,20000,Parents,2,74,0,Health Insurance,90000,20 Years,78,1,15000
69,Female,Urban,69000,54000,31000,Empty Nesters,2,62,1,Retirement Plan,90000,Whole Life,95,1,15000
29,Female,Suburban,40000,68000,18000,Married,2,95,1,Investment Plan,90000,10 Years,77,1,15000
26,Female,Urban,17000,18000,18000,Single,0,95,1,Life Insurance,90000,Whole Life,48,0,15000
37,Female,Urban,81000,55000,46000,Partnered,1,95,0,Investment Plan,90000,10 Years,64,0,15000
50,Female,Rural,56000,45000,0,Married,2,87,1,Retirement Plan,90000,Whole Life,84,0,15000
23,Female,Urban,27000,14000,8000,Single,1,95,0,Life Insurance,90000,5 Years,45,0,15000
20,Female,Suburban,39000,11000,77000,Single,1,95,0,Life Insurance,90000,5 Years,60,1,15000
63,Male,Urban,74000,33000,98000,Empty Nesters,0,36,0,Retirement Plan,90000,20 Years,92,1,15000
40,Male,Urban,33000,35000,56000,Single,0,66,1,Health Insurance,90000,5 Years,64,1,15000
41,Male,Rural,65000,29000,48000,Empty Nesters,2,95,0,Investment Plan,90000,10 Years,58,0,15000
28,Male,Rural,38000,6000,3000,Partnered,1,95,0,Life Insurance,90000,Whole Life,65,1,15000
61,Male,Urban,61000,49000,29000,Empty Nesters,1,86,1,Retirement Plan,90000,5 Years,88,1,15000
61,Female,Suburban,73000,38000,61000,Empty Nesters,2,52,0,Retirement Plan,90000,10 Years,71,1,15000
36,Male,Urban,78000,62000,26000,Single,0,95,1,Investment Plan,90000,10 Years,73,1,15000
21,Female,Urban,23000,11000,12000,Single,1,94,0,Life Insurance,90000,20 Years,76,1,15000
49,Female,Suburban,33000,26000,100000,Married,0,59,1,Health Insurance,90000,20 Years,79,0,15000
29,Female,Suburban,75000,42000,64000,Single,0,95,1,Investment Plan,90000,10 Years,88,0,15000
20,Male,Urban,17000,8000,55000,Single,2,95,1,Life Insurance,90000,5 Years,66,1,15000
26,Male,Urban,99000,48000,12000,Married,2,95,0,Investment Plan,90000,20 Years,79,0,15000
42,Male,Suburban,46000,13000,73000,Parents,1,95,0,Health Insurance,90000,10 Years,56,1,15000
30,Male,Suburban,26000,15000,5000,Married,0,95,0,Life Insurance,90000,5 Years,78,0,15000
47,Male,Suburban,56000,24000,3000,Empty Nesters,1,77,0,Health Insurance,90000,20 Years,76,1,15000
22,Male,Rural,45000,6000,46000,Single,1,95,0,Life Insurance,90000,20 Years,55,1,15000
58,Male,Urban,92000,52000,40000,Parents,1,52,0,Retirement Plan,90000,5 Years,76,0,15000
28,Male,Rural,26000,3000,69000,Single,0,95,0,Life Insurance,90000,20 Years,90,1,15000
41,Female,Urban,46000,31000,60000,Parents,2,90,1,Health Insurance,90000,20 Years,65,0,15000
23,Male,Rural,20000,7000,58000,Single,1,95,0,Life Insurance,90000,10 Years,67,0,15000
22,Female,Rural,18000,20000,40000,Single,1,95,0,Life Insurance,90000,10 Years,55,0,15000
27,Female,Urban,25000,12000,11000,Partnered,1,95,1,Life Insurance,90000,10 Years,58,1,15000
28,Male,Rural,41000,10000,81000,Single,2,92,1,Life Insurance,90000,Whole Life,72,1,15000
24,Female,Urban,27000,2000,47000,Single,2,90,1,Life Insurance,90000,Whole Life,46,1,15000
25,Male,Suburban,52000,43000,50000,Single,2,95,0,Investment Plan,90000,5 Years,65,1,15000
65,Female,Suburban,75000,27000,92000,Empty Nesters,1,65,1,Retirement Plan,90000,5 Years,76,1,15000
42,Male,Urban,67000,66000,96000,Parents,1,92,0,Investment Plan,90000,Whole Life,71,0,15000
33,Female,Urban,15000,21000,43000,Married,1,89,0,Life Insurance,90000,10 Years,52,1,15000
50,Male,Urban,67000,52000,64000,Empty Nesters,0,53,0,Retirement Plan,90000,20 Years,90,1,15000
25,Female,Urban,30000,22000,21000,Single,1,95,0,Life Insurance,90000,10 Years,72,0,15000
32,Male,Suburban,60000,66000,99000,Single,0,95,0,Investment Plan,90000,10 Years,77,1,15000
50,Male,Rural,48000,68000,4000,Married,0,55,0,Retirement Plan,90000,Whole Life,77,1,15000
66,Male,Urban,62000,51000,81000,Empty Nesters,0,36,1,Retirement Plan,90000,10 Years,79,1,15000
47,Female,Urban,43000,28000,22000,Married,1,69,0,Health Insurance,90000,20 Years,70,1,15000
53,Male,Urban,57000,48000,40000,Married,0,95,0,Retirement Plan,90000,10 Years,84,1,15000
31,Female,Rural,36000,12000,85000,Partnered,0,95,1,Life Insurance,90000,5 Years,54,1,15000
63,Female,Suburban,64000,50000,78000,Empty Nesters,0,75,0,Retirement Plan,90000,Whole Life,65,0,15000
29,Female,Urban,97000,39000,76000,Single,1,95,1,Investment Plan,90000,10 Years,65,1,15000
36,Female,Suburban,79000,35000,88000,Partnered,1,87,1,Investment Plan,90000,5 Years,78,0,15000
32,Male,Suburban,30000,25000,18000,Partnered,0,79,0,Life Insurance,90000,5 Years,65,0,15000
42,Male,Urban,69000,45000,6000,Empty Nesters,2,89,1,Investment Plan,90000,10 Years,77,0,15000
29,Male,Rural,74000,67000,57000,Single,0,93,1,Investment Plan,90000,Whole Life,67,1,15000
38,Male,Suburban,97000,36000,83000,Married,0,64,0,Investment Plan,90000,5 Years,60,1,15000
58,Female,Urban,51000,55000,96000,Parents,2,39,1,Retirement Plan,90000,5 Years,75,0,15000
44,Female,Suburban,66000,69000,5000,Married,0,71,1,Investment Plan,90000,20 Years,83,1,15000
49,Male,Suburban,27000,34000,13000,Empty Nesters,2,71,0,Health Insurance,90000,Whole Life,71,0,15000
41,Male,Suburban,80000,60000,80000,Parents,1,73,0,Investment Plan,90000,5 Years,72,0,15000
48,Female,Rural,58000,27000,85000,Empty Nesters,0,86,1,Health Insurance,90000,5 Years,81,0,15000
20,Male,Rural,30000,14000,10000,Single,1,95,1,Life Insurance,90000,20 Years,60,1,15000
47,Male,Rural,54000,20000,96000,Married,1,64,0,Health Insurance,90000,10 Years,77,0,15000
67,Female,Urban,72000,59000,67000,Empty Nesters,2,43,0,Retirement Plan,90000,10 Years,79,1,15000
68,Female,Suburban,97000,33000,69000,Empty Nesters,1,41,1,Retirement Plan,90000,Whole Life,84,1,15000
40,Male,Suburban,49000,47000,66000,Partnered,0,80,1,Investment Plan,90000,20 Years,66,0,15000
44,Male,Urban,55000,21000,34000,Empty Nesters,0,77,0,Health Insurance,90000,10 Years,94,1,15000
32,Male,Suburban,28000,13000,13000,Partnered,0,95,0,Life Insurance,90000,5 Years,78,1,15000
25,Female,Urban,28000,15000,85000,Single,1,95,0,Life Insurance,90000,5 Years,59,0,15000
34,Female,Urban,33000,10000,86000,Partnered,1,70,0,Life Insurance,90000,5 Years,71,0,15000
36,Male,Rural,34000,29000,51000,Partnered,0,75,1,Health Insurance,90000,20 Years,67,0,15000
30,Male,Suburban,80000,63000,86000,Partnered,1,95,0,Investment Plan,90000,Whole Life,71,0,15000
25,Male,Suburban,36000,50000,74000,Single,0,95,1,Investment Plan,90000,20 Years,58,0,15000
39,Female,Suburban,45000,51000,98000,Single,2,82,0,Investment Plan,90000,Whole Life,74,0,15000
35,Female,Urban,83000,70000,98000,Married,1,78,0,Investment Plan,90000,Whole Life,60,1,15000
43,Male,Urban,91000,71000,53000,Parents,2,95,1,Investment Plan,90000,5 Years,76,1,15000
52,Male,Suburban,80000,39000,10000,Married,2,68,0,Retirement Plan,90000,5 Years,84,0,15000
36,Female,Rural,29000,31000,43000,Married,2,92,1,Health Insurance,90000,20 Years,49,0,15000
27,Female,Rural,38000,14000,96000,Married,2,95,1,Life Insurance,90000,20 Years,55,0,15000
49,Male,Rural,39000,9000,0,Married,0,75,1,Health Insurance,90000,10 Years,94,1,15000
32,Female,Urban,44000,20000,31000,Partnered,0,95,0,Health Insurance,90000,Whole Life,60,1,15000
64,Male,Suburban,61000,24000,56000,Empty Nesters,1,52,0,Retirement Plan,90000,5 Years,83,0,15000
24,Male,Suburban,34000,7000,20000,Single,2,95,1,Life Insurance,90000,5 Years,66,0,15000
32,Female,Rural,32000,20000,31000,Single,2,95,1,Life Insurance,90000,5 Years,51,0,15000
46,Male,Urban,35000,33000,32000,Married,2,87,0,Health Insurance,90000,10 Years,85,0,15000
25,Male,Urban,92000,59000,57000,Single,1,95,0,Investment Plan,90000,20 Years,67,1,15000
48,Female,Suburban,61000,16000,57000,Parents,1,95,1,Health Insurance,90000,Whole Life,75,1,15000
49,Male,Urban,49000,21000,63000,Married,2,66,0,Health Insurance,90000,20 Years,81,1,15000
26,Female,Rural,21000,11000,8000,Single,2,91,1,Life Insurance,90000,Whole Life,52,1,15000
30,Male,Suburban,72000,60000,38000,Partnered,0,95,0,Investment Plan,90000,Whole Life,63,1,15000
36,Female,Rural,71000,52000,38000,Partnered,1,86,0,Investment Plan,90000,5 Years,64,1,15000
